comment,offensive
یہ غفورا اینڈ کمپنی نے بہت بھیانک کھیل کھیلا ہے پاکستان کے ساتھ۔ نواز شریف نے مارشل لاء کے دروازے اپنی کارکردگی سے بند کر دیے تھے تو انہوں نے سوچا کہ کسی ایسے بندے کو لاتے ہیں جو بیڑہ غرق کردے ہرچیز کا تو ہمیں بہانہ مل جائے گا دیواریں پھلانگنے کا @peaceforchange @OfficialDGISPR,1
یہ غفورا اور باجوہ اور ان جیسے دوسرے سب یہودیوں اورقادیانیوں کے ایجنٹ ھیں عوام ھماری ستو پی کے سورھی ھے https://twitter.com/Arzoomalik01/status/1178892504114040835 …,1
یہ غفورا اپنے طرح پوری قوم کو چوتیا سمجھتا ہے کہتا ہے فوج غیر جانبدار ادارہ ہے,1
یہ ظالم اور رینٹل آرمی کب تک یہ بغیرتی کریگا جتنا کرسکتا ہے کرے لیکن ایک دن حساب دینا پڑیگا۔باجواہ۔غفورا۔اینڈ کمپنی کو۔اور ہمیں فخر ہے اپنے گریٹ لیڈران ۔محسن داوڑ اور علی وازیر پر انشاءاللہ ساری دنیا جانتی ہے کہ یہ دو ہی شیر ھے جوکہ 7لاکھ رینٹل آرمی کو ناکیل ڈال رہا ہے,1
یہ سیاسی جرنل کرنل بےغیرت - یہ جو دہشت گردی ہے اس کے پیچھے جرنل قمر باجوہ کی وردی ہے - (جو افراد گالی میں جواب دینا چاہیں تو ان کو انکی والدہ انکے والد انکی باجی اور بیوی / بیٹی کو وہی گالی سود سمیت واپس) @OfficialDGISPR,1
یہ سب غفورا کے کتے تھے,1
یہ سب بہن چود غفورا باجوہ کوٹھا کی اولاد ھیں,1
یہ ساری گیم امریکہ باجوہ نیازی گیم ھے عوام کو چاھئے کہ اس بیغیرت اور ووٹ چور باجوے کیخلاف نکلیں جیسے جنرل ایوب کو ایوب کتا کہا تھا کیونکہ محترمہ فاطمہ جناح رح کو دھوکہ سے انتخابات میں ہرایا تھا ایسے ھی قمر باجوہ کتا کا نعرہ بھی آج کی ضرورت ھے,1
یہ سارے ٹماٹر کے کھیت بھی ہمارے ہیں پا غفورا تیلی. #Tomatoes,1
یہ روائت عمران نیازی کی ڈالی ہوئی ہے اور کونسے کروڑوں ووٹ کنجر کے بچو تم لوگ گلی کے کونسلر نہیں بن سکتے تھے جو قوم MNA بنا کر قوم پر مسلط کر دیئے گئے استغفیٰ تو تمہارا باپ بھی دے گا غاندو دبو تيرا كيا بنه گا سور كي اولاد غفورا كتا https://twitter.com/fawadchaudhry/status/1190280392152113152 …,1
یہ دوسرے تصویر پر غفورا کذاب لکھ دو۔۔,1
یہ خود کتے ہیں جو چھوڑیں گے وہ کتورے ہونگے #باجوہ_کنجر #غفورا_دلا,1
یہ حرام نسل تو قوم فروش باجوہ اور بیغیرت نیازی کا بھی باپ نکلا🤔😴😣👎 https://twitter.com/blackrakh/status/1176284307641516035 … pic.twitter.com/Iagstxzn0l,1
یہ جو رابی پیرزادہ کی بے عزتی ہے.. اسکے پیچھے انکل غفورا کی لابی ہے..,1
یہ جو دھشت گردی ہیں اس کے پیچے وردی ہیں باجوا ماجوا دھشت گرد غفورا مفورا دھشت گرد جنرل منرل دھشت گرد #StateAttackedPTM,1
یہ جو دھشت گردی ہے اس کے پیچھے وردی ہے یہ جو غنڈہ گردی ہے اس کے پیچھے وردی ہے یہ باجوہ واجوہ بیغیرت یہ کرنل جرنل بیغیرت یہ بکاو میڈیا بیغیرت یہ ناپاک فوجی بیغیرت #StateAttackedPTM #BoycottARYNews #PTMExposeStateTerrorism #Pakistan,1
یہ جو دھشت گردی ہے اس کے پیچھے وردی ہے یہ جو اغواہ گردی ہے اس کے پیچھے وردی ہے یہ جو سنسر گردی ہے اس کے پیچھے وردی ہے یہ کرنل جرنل بیغیرت یہ باجوہ کتا بیغیرت یہ بزدل فوجی بیغیرت #ReleaseRaziDada #RaziDadaAbducted #ReleaseAmmarAliJan #AmmarAliJan #Pakistan,1
"یہ جو دہشگردی ہے اس کے پیچھے باجوہ ماجوہ، غفورا مفورا اور سارا پنجابے فوج کے وردی ہے. https://twitter.com/peaceforchange/status/1122912962807848961 …",1
یہ جو دہشتگردی ہیں اس کے پیچھے وردھی ہیں یہ کرنل جنرل بیغرت یہ باجوہ ماجوہ بیغیرت #ReleaseManzoorPashteen https://twitter.com/AmrullahSaleh2/status/1221806205062041600 …,1
"یہ جو دہشتگردی ہے اسکے پیچھے وردی ہے کے ناروں پہ تم کالیاں ناراض ہوتا ہے پھر ہم اس ناپاک فوج سے پوچھنا چاہتے ہے کہ یہ جو فالتو کتے تم لوگوں نے رکھے ہے ، یہ کس لیے رکھے ہے ، pic.twitter.com/30te3lJ77w",1
یہ جو دہشتگردی ہے اسکے پیچھے وردی ہے جیسے مقدس اور سچے الفاظ جناب آصف غفورا کی زبانی بھی سن لیجئے #PTMZindabad #LiesOfDGISPR pic.twitter.com/AmFFR10zX5,1
یہ جو دہشتگردی اس کے پیچھے وردی ہے یہ جنرل منرل دہشتگرد باجوا ماجوا دہشتگرد غفورا مفورا دہشتگرد 71 پھر سے پتلونیں پھر نکالیں گے پھر سے گیلی چھوڑیں گے۔۔۔۔۔۔۔,1
یہ جو دہشتگرد ہے اس کے پیچھے ناپاک فوج کا وردی ہے۔ یہ جو نامعلوم ہے وہ ہمیں معلوم ہے۔ یہ باجوہ ماجوہ دہشتگرد یہ غفورے مفورے دہشتگرد ہے سب کے سب دہشتگرد ہے ناپاک فوج پر ہزاروں بار لعنت کہتا ہوں میں۔,1
یہ جو دہشت گردی ہے اس کے پیچھے باجے والے اور غفورا گردی ہے,1
یہ جو دہشت گردی ہے اس کے پیچھے باجوہ سور قادیانی حرامی خنزیر کی وردی ہے @aseeremuhabbat @sheikhyasirham2 #باجوہ_تم_بیغیرت_ھو pic.twitter.com/ny3ysiK0Ry,1
یہ جو چاچا غفورا اللہ کا نام لیتا ھے کوئی سچ مچ یقین کرتا ھےکیا کہ وہ اللہ کو حاضر و ناضر مانتا بھی ھےبلوچوں کا قاتل اور اللہ اللہ,1
یہ جو ابھی ابھی لیفٹنٹ جرنل وبریگڈیر سزاء موت پا چکے غفورا کپورا کو نسی زبان میں حلال کریگا چوڑا شگاف نعرے بازی میں ایک بیان دیگا مبحم https://twitter.com/Humaira39410371/status/1208489663981391872 …,1
یہ جنرل کرنل بیغیرت یہ باجوہ ماجوہ بیغیرت یہ غفورا مفورا بیغیرت #WhereIsAdvShafiq,1
یہ جنرل کرنل بیغیرت ہہ باجوہ غفورا بیغیرت,1
یہ جعلی کرنل بنا ہوا ہے کاشف بھائی یہ پعنتی لوگ صرف پوٹی آئی گروپ کے ہیں اور کچھ غفورا بریگیڈ لعنت ہے ان جھوٹوں پر اپنا چہرہ تو ڈر کے مارے دلھا نہیں سکتے اور باتیں “جپھے شتیراں نوں”,1
یہ جرنل کرنل بیغیرت یہ باجوہ باجوہ بیغیرت یہ کھوسہ کھوسہ بیغیرت یہ نیازی نیازی بیغیرت #NawazSharif,1
یہ جرنل کرنل بےغیرت۔ #باجوہ_کتا_ہائے_ہائے,1
یہ جج جنرل باجوہ بیغیرت ہیں اک بدکار کو ملک کا سربراہ بٹھا دیا گیا ھے ۔ شرمناک,1
یہ تو مجھے غفورا مافورا کی لکھائی لگ رہی ہے,1
یہ تو پی ٹی ایم کا دھرنا نہیں بلکہ ان محسود قوم کا دھرنا تھا جن کے گھر ناپاک فوج نے جعلی آپریشنز میں تباہ کئے یہ صرف اپنے گیرائے گئے گھروں کامعاوضہ مانگنے یہاں پر دھرنا دئیے بیٹھے تھے لیکن ان کے بیٹھنے کی جگہ پر بھی آپ نے گندا پانی چھوڑ کر یہ ثابت کیا کہ آپ پختونوں کے دشمن ہوں pic.twitter.com/IiTK6Pff90,1
یہ تو پوری عوام کی لے رہے ہیں #باجوہ_کنجر #غفورا_دلا,1
یہ تو بیغیرت غفورا ہے لعنت بےشمار ہو اس پر,1
یہ تو بات ہوگئی پاک فوج کی تھوڑا کاروباری ناپاک فوج کا بھی بتائیں کہاں بیٹھے سازشیں رچا رہے ہیں۔۔۔۔ # https://twitter.com/arifhameed15/status/1226268435002413056 …,1
"یہ پھس غفورا ھے ،یہ بیک وقت پاکستان کے تمام محکموں داخلی، خارجی، مالی ، صنعتی، اطلاعات و نشریات، قومی سلامتی سب کا بوجھ اپنے ناتواں کندھوں پر آٹھائے ھوئے ھے، شاید اسی چکر میں کوئی ایکسٹینشن کا چکر چل جائے، https://twitter.com/NoumanFK/status/1173591833970167808 …",1
یہ پراجیکٹ ایف ڈبلیو او (جو کہ ناپاک فوج کا ذیلی ادارہ ہے ) نے مکمل کیا اور مُلک سیاستدان لوٹ کر کھا گئے https://twitter.com/UmarCheema1/status/1233701266116792320 …,1
یہ پاہ غفور شکل اور عقل سے پاہ غفورا ہی لگتا ہے ففتھ جنریشن وار کا اٹیک اور ری ایٹک اپنی عوام پر جاری و ساری اور دشمنوں کو دوستی کے پیغامات!!!,1
یہ پالتو کتے ہیں جو ملک کہ کہنے پہ بونکتے ہیں اور ملک کہ کہنے پہ کاٹتے پیں اور ان کتوں کا سردار غفورا ہے,1
"یہ پاکستانی یہودی یعنی قادیانی ٹولہ ہے بھائی اسلئے یہ اس یہودی سے بھی زیادہ بڑے منافق اسلام اور دشمن ان اسلام ہیں باجوہ ،نیازی،غفورا،فیضو چکوالیہ خنزیر ہیں یہ اس ملک کو تباہ کرکے رکھ دیا ہے انہوں نے",1
"یہ پاک فوج نہیں ناپاک فوج ہے حملہ بھی سویلین پر خود کیا اور میڈیا سے پروپیگنڈہ بھی کررہے ہیں اس ناپاک فوج کا بنیاد ہی جھوٹ، منافقت اور ظلم کے نظرئیے پر رکھا گیا تھا #StateAttackedPTM",1
یہ پاک فوج کچھ زیادہ چولیں نہیں مار رہی جھوٹ پر جھوٹ شرم ہی نہیں آتی,1
یہ بیغیرت ہے۔ غفورا مفورا بیغیرت,1
یہ بیغیرت نیازی اور باجوہ بکسہ چور بچا کھچا ملک توڑے بغیر نہیں رہیں گے,1
یہ بیغیرت رجیم جیل میں ہمارے بےگناہ لیڈروں کے ساتھ انسانیت سوز سلوک کر رہے ہیں نواز شریف اور مریم میم کو زہر دے کر قتل کرنے کی کوشش کر رہے ہیں ۔ باجوہ کتا ہائے ہائے نیازی کتا ہائے ہائے #ReleaseNawazSharifNow,1
یہ بےغیرت بھکاری پیسے لے کر غلیظ گوریوں کے بستر گرم کرنے والا اپنے کُتے شیرو کے مُنیہ کی جھاگ چاٹ لیتا ھے تو یہ تنخواہ کہاں سے عطیہ کرے گا ابھی بھی یہ قادیانیوں اور یہودیوں کی تنخواہ پر پاکستان کا بیڑا غرق کر رہا ھے نہ جانے کب ہوش آے گا جنرل باجوہ اور جنرل فیض کو؟,1
یہ بے غیرت لوگ ہیں غفورا اور اس کے حواری اس میں بھی اپنے لئے کچھ نکال لیں گے انہیں ملک سے کیا غرض یے,1
"یہ بے شرم اور گھٹیا غفورا, یہ وردی پہن کر سیاست کرنے والا دلا ہے. https://twitter.com/naddiyyaathar/status/1130940376192299014 …",1
یہ بہت بھیانک تاریخ ھے لیکن اس سے انکار ممکن نہیں آج پاکستان کے پاس بھی ایک ابن علقمی موجود ھے جس کا نام جنرل قمر جاوید باجوہ ھے اس خبیث ملک دشمن شخص نے نوازشریف کے بغض میں پورا پاکستان تباہ و برباد کر دیا ھے اس نے یہ سب امریکہ سے چند ٹکے لے کر ملک پر یہودی ایجنٹ مسلط کیا ھے,1
یہ بکری کے منہ والا غفورا نون لیگ کے دور میں کہتا تھا “معیشت اتنی اچھی بھی نہیں ہے” https://twitter.com/peaceforchange/status/1155907211308257280 …,1
یہ بڑا ہی گھٹیا زلیل کمینہ اور خنزیر نسل کا انسان ہے ب چ کتا 🐷 غفورا ماچھی,1
یہ بچوں نے خود ھی کوئی جگاڑ لگانا ھے یہ حرامخور ھیں باجوہ اور غفورا,1
"یہ باجوہ، فیض، غفورا انکو کوئی کونسلر نا بنائے اور تم نے انکو باپ بنا رکھا ہے۔ ایسے کئے کتے یہاں دفن ہیں ، اور انکی قبروں پر کتے موتتے ہیں۔ نواز تب بھی وزیراعظم تھا جب باجوہ کرنل ہو کر فوجی طریقے سے پروموشن لیتا تھا۔ فرعون مشرف کتے کی برح در بدر۔ یہی تمہارے ان مالکوں کا ہو گا",1
یہ باجوہ ماجوہ یہ غفورا مفورا پاک فوج دہشت گرد کون ہے یہ سچ بولنے والے لوگ ,1
یہ باجوہ ماجوہ ناں بھائی نہ یہ غفورا مفورا نہ بھائی ناں,1
یہ باجوہ بیغیرت باپ ھے کیا نیازی کتے کا؟؟؟؟؟,1
یہ باجوہ بھی انتہائی بیغیرت اوربزدل ھے قادیانی خنزیر https://twitter.com/kanju_munawar/status/1077247963104190466 …,1
